question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx,provider
What ballet will Krohn dance on her final Saturday night?,Krohn will dance Stravinsky Violin Concerto with Amar Ramasar on her final Saturday night.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0,gemini
What Balanchine ballets are mentioned as favorites?,"Balanchine's Stravinsky Violin Concerto, Movements for Piano and Orchestra, and Agon are mentioned as favorites.",fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1,gemini
What is another ballet by Robbins that the speaker mentions enjoying?,The speaker mentions enjoying Robbins' Dances at a Gathering.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1,gemini
What makes sharing the stage with friends so special?,"Sharing the stage with friends creates an amazing sense of trust and spontaneity, leading to a strong connection.",reason,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1,gemini
How did the speaker's perspective on the company change over the years?,"As the speaker got older, the company seemed younger, and the speaker wanted to be a supportive figure for the younger dancers.",comparison,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1,gemini
What did the speaker want to offer the younger dancers?,The speaker wanted to offer the younger dancers support and advice.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1,gemini
What type of ballets did the speaker always love?,"The speaker always really loved the Balanchine black and white ballets, as well as some Robbins ballets.",fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1,gemini
When did the speaker formally address staying with the company?,The speaker formally addressed staying with the company a year ago.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2,gemini
What was Peter Martins's reaction to the speaker's desire to stay with the company?,Peter Martins thought it was a great idea for the speaker to stay with the company.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2,gemini
What is the speaker most looking forward to in their new role?,The speaker is most looking forward to nurturing the dancers and their talents and carrying on the amazing ballets with the new dancers for the future.,reason,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2,gemini
What inspires the speaker about Karin von Aroldingen?,Karin von Aroldingen's undying passion for the ballet pieces is incredibly inspiring to the speaker.,reason,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2,gemini
What talent does Susan Hendl have that inspires the speaker?,"Susan Hendl has a wonderful talent of drawing out everyone's unique qualities and femininity, which inspires the speaker.",reason,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2,gemini
Which ballet masters has the speaker connected with?,The speaker is very close to Karin von Aroldingen and has also been inspired by Susan Hendl.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2,gemini
"Besides ballet, what activities does the speaker plan to pursue with more free time?","The speaker plans to visit museums more often, indulging in her love for cooking and hosting dinner parties.",fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3,gemini
Why did the speaker avoid being on her legs all day on her days off while dancing?,The speaker avoided being on her legs all day on her days off because she wanted to rest her legs for dancing.,reason,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3,gemini
What is the first piece of advice for young dancers?,"The first piece of advice is that ballet instills discipline, which is an invaluable quality.",fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3,gemini
"According to the speaker, what is so special about ballet?","According to the speaker, the discipline that ballet instills is what's so special about it.",fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3,gemini
What is the second piece of advice for young dancers who are just starting out?,"The second piece of advice is to treat each day as a new start, be positive, and move forward, even on days when you don't feel good or things aren't working well.",fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3,gemini
How should young dancers approach days when they don't feel their best?,"Young dancers should approach those days as a fresh start, maintaining a positive attitude and continuing to move forward.",application,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3,gemini
