question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx,provider
恵理菜が実の両親と再会した後、何歳で大学生になりましたか？,恵理菜は4歳で実の両親と再会し、21歳で大学生になりました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_2,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,2,gemini
恵理菜が過去と向き合うきっかけとなった出来事は何ですか？,劇団ひとりが演じる不倫相手の子を宿し、憎んでいた希和子と同じ道を歩んでいることに気づいたことです。,reason,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_2,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,2,gemini
恵理菜は誰と共に4年間の逃亡生活を追憶する旅に出ましたか？,恵理菜は小池栄子が演じるルポライター・安藤千草と共に旅に出ました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_2,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,2,gemini
恵理菜が最終地・小豆島で見た真実とは何ですか？,テキストには、具体的な真実は明記されていません。しかし、希和子との幸せだった時間に触れながら辿り着いた場所であることが示唆されています。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_3,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,3,gemini
一般的な蝉の寿命はどのくらいですか？,蝉は一生の大半を幼虫として地下で過ごし、地上に出てからは羽化から約1週間程度で死ぬと言われています。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_3,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,3,gemini
映画『八日目の蝉』における「八日目」という言葉は、何を象徴していると考えられますか？,中絶によって子供を産めなくなった希和子と恵理菜が過ごした、本来あり得なかった幸せな時間を象徴していると考えられます。,reason,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_3,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,3,gemini
中島美嘉の『Dear』は、彼女にとってどのような作品でしたか？,耳管開放症による音楽活動休止からの復帰第一弾シングルであり、通算33作目のシングルです。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_3,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,3,gemini
もしあなたが「八日目の蝉」だとしたら、何を目撃したいですか？,この質問に対する回答は、個人の価値観や想像力によって異なります。,application,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_3,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,3,gemini
映画「八日目の蝉」の通常版DVDの発売日はいつですか？,2011年10月28日です。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_4,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,4,gemini
映画「八日目の蝉」に出演している女優は誰ですか？,井上真央、永作博美、森口瑤子、小池栄子などが出演しています。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_4,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,4,gemini
映画「八日目の蝉」のDVDの販売元はどこですか？,アミューズソフトエンタテインメントです。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_4,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,4,gemini
映画「八日目の蝉」は、原作を読んだ人にどのような影響を与えていますか？,原作に深い感銘を受けた人が、本作のために楽曲を提供するほどです。,reason,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_4,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,4,gemini
記事では、映画「八日目の蝉」の関連情報として何が挙げられていますか？,井上真央が逃避行するストーリーや、永作、森口、小池が頭を悩ます映画であることが挙げられています。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_4,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,4,gemini
映画『おかえり、はやぶさ』で主演を務めた俳優は誰ですか？,藤原竜也が主演を務めました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_0,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,0,gemini
特別授業はどこで行われましたか？,千代田区立神田一橋中学校で行われました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_0,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,0,gemini
文部科学副大臣は生徒たちにどのようなエールを送りましたか？,チャレンジ精神で頑張ってほしいとエールを送りました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_0,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,0,gemini
藤原竜也は中学生と何を行ったのですか？,中学生とともにロケット打ち上げに成功しました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_0,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,0,gemini
特別授業のテーマは何ですか？,宇宙をテーマにした特別授業でした。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_0,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,0,gemini
第1部でロケットの不思議について説明したのは誰とどこですか？,日本宇宙少年団とJAXA（宇宙航空研究開発機構）が説明しました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_1,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,1,gemini
アルコールロケット発射実験で、実際の燃料である水素の代わりに何が使われましたか？,水素の危険性を考慮して、アルコールが代用されました。,reason,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_1,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,1,gemini
アルコールロケットの発射実験は何を目的として行われましたか？,ロケットと同じ原理で飛ばすことで、生徒の理解を深めることを目的として行われました。,reason,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_1,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,1,gemini
アルコールロケットが命中したくす玉から現れた垂れ幕には何と書かれていましたか？,“祝！ 卒業「おかえり、はやぶさ」大ヒット祈願”と書かれていました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_1,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,1,gemini
実際のロケットの燃料とアルコールロケットの燃料の違いは何ですか？,実際のロケットの燃料は水素と酸素ですが、アルコールロケットでは水素の代わりにアルコールが使われています。,comparison,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_1,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,1,gemini
イベントに参加した生徒は何人でしたか？,132名の生徒がイベントに参加しました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_2,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,2,gemini
藤原さんは、卒業を控えた中学生に向けてどのようなメッセージを送りましたか？,諦めずに前に進んでくださいというメッセージを送りました。,application,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_2,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,2,gemini
藤原さんは学校について、どんな感想を述べていますか？,学校は寒いと感じたようです。友達と遊んだ事を思い出し興奮もしていました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_2,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,2,gemini
藤原さんは、宇宙以外にどんな分野に興味がありますか？,生物や生命体にも興味があると述べています。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_2,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,2,gemini
藤原さんは、はやぶさについてどのような関心を持っていましたか？,リアルタイムで見たり調べたりしていました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_2,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,2,gemini
はやぶさは何年間宇宙を旅しましたか？,はやぶさは往復7年間、宇宙を旅しました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_3,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,3,gemini
JAXAの人々が諦めずに帰還を成功させた理由は何ですか？,数センチ、数ミリの希望を奇跡的にキャッチすることで、JAXAの人々は帰還を成功させました。,reason,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_3,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,3,gemini
映画の中で引用されているウィンストン・チャーチルの言葉は何ですか？,「成功とは意欲を失わずに、失敗に次ぐ失敗を繰りかえすことである」という言葉が引用されています。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_3,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,3,gemini
映画の内容と中学三年生に共通する点は何ですか？,多くの経験をして失敗をしても、意欲を失わないで次に繋げるという点が共通しています。,application,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_3,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,3,gemini
JAXAの人々の苦労について、何がわかりましたか？,JAXAの人々の非常に大変な苦労を知ることができました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_3,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,3,gemini
藤原さんが中学三年生の時に抱いていた夢は何でしたか？,サッカー選手になることでした。勉強はせず、学校へは給食を食べに行くだけだったそうです。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_4,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,4,gemini
藤原さんが演劇の世界に入るきっかけは何でしたか？,元々サッカー選手を目指していましたが、ある時演劇の世界に入ることになり、気づいたら演劇の世界に引っ張られていたそうです。,reason,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_4,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,4,gemini
藤原さんは、自分を変えるために何が重要だと考えていますか？,人との出会いが重要だと考えています。たくさんの人と出会い、恋愛もすることが大切だと述べています。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_4,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,4,gemini
日本の宇宙開発プロジェクト『はやぶさ』シリーズに期待することは何ですか？,多くの国民に希望を与えた『はやぶさ』のように、『はやぶさ2号機』も国民一人一人が応援することで活気がでることを期待しています。,reason,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_4,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,4,gemini
藤原さんは、これからの人生をどのように過ごすことが大事だと考えていますか？,楽に楽しく過ごすことが大事だと考えています。人生には何が起こるか分からないので、アンテナを張りながら生活することが重要だと述べています。,application,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_4,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,4,gemini
映画『おかえり、はやぶさ』は、どのような探査機のエピソードを基にしているか？,小惑星探査機“はやぶさ”が2011年6月13日に地球へ帰還するまでのエピソードを基にしている。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_5,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,5,gemini
映画『おかえり、はやぶさ』で描かれているもう一つのテーマは何か？,家族や仲間の絆が描かれている。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_5,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,5,gemini
映画『おかえり、はやぶさ』はいつ公開されたか？,2012年3月10日(土)に3D&2D同時公開された。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_5,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,5,gemini
映画『おかえり、はやぶさ』にはどのような俳優が出演しているか？,藤原竜也、杏、三浦友和、まえだまえだの前田旺志郎などが出演している。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_5,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,5,gemini
藤原竜也は、映画を観る人にどのようなことを期待しているか？,宇宙へ興味を持ってもらい、夢へ向かって進む光を射してくれるような映画になることを期待している。,reason,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_5,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,5,gemini
映画『おかえり、はやぶさ』に出演している日本の俳優は誰ですか？,藤原竜也と杏が出演しています。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_6,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,6,gemini
映画『おかえり、はやぶさ』に関連してどのようなグルメが登場しましたか？,うな重、カレー、ケーキが登場しました。,fact,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_6,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,6,gemini
なぜ藤原竜也や杏のような俳優は宇宙に行けないと考えられていますか？,日本の俳優のスケールでは宇宙に行けないとされていますが、具体的な理由はテキストからは不明です。,reason,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_6,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,6,gemini
映画『おかえり、はやぶさ』の関連情報として、他にどのような種類の記事が考えられますか？,はやぶさプロジェクトの科学的成果や、映画制作の舞台裏に関する記事などが考えられます。,application,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功_chunk_6,livedoor_1_藤原竜也、中学生とともにロケット打ち上げに成功,livedoor,6,gemini
映画『戦火の馬』のロイヤル・プレミアに出席したのは誰ですか？,ウィリアム王子とキャサリン妃が出席しました。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_0,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,0,gemini
『戦火の馬』のロンドン ロイヤル・プレミアは、どのような目的で開催されましたか？,英国王室ウィリアム王子とハリー王子が運営する慈善団体のチャリティイベントとして開催されました。,reason,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_0,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,0,gemini
キャサリン妃にとって、『戦火の馬』のプレミア出席はどのような機会でしたか？,結婚後、初の映画プレミア公式出席でした。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_0,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,0,gemini
映画『戦火の馬』はいつから全国ロードショーとなりますか？,3月2日から全国ロードショーとなります。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_0,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,0,gemini
『戦火の馬』は当時、どのような評価を受けていましたか？,アカデミー賞最有力候補として大きな注目を集めていました。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_0,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,0,gemini
『戦火の馬』の舞台となっているのは何という戦争ですか？,第一次世界大戦が舞台となっています。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_1,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,1,gemini
『戦火の馬』の原作小説の作者は誰ですか？,マイケル・モーパーゴです。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_1,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,1,gemini
舞台劇『戦火の馬』は、どのようなテーマで人気を博しましたか？,「希望」と「絆」をテーマにした感動の物語として人気を博しました。,reason,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_1,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,1,gemini
映画『戦火の馬』の監督は誰ですか？,スティーブン・スピルバーグ監督です。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_1,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,1,gemini
エリザベス女王が舞台『戦火の馬』を鑑賞したことは、この作品のどのような影響を与えたと考えられますか？,エリザベス女王の鑑賞は、作品の評判を高め、映画化につながる要因の一つになったと考えられます。,application,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_1,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,1,gemini
レッドカーペットに登場した監督は誰ですか？,スピルバーグ監督がレッドカーペットに登場しました。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_2,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,2,gemini
キャサリン妃は何歳の誕生日を迎えますか？,キャサリン妃は30歳の誕生日を迎えます。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_2,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,2,gemini
ウィリアム王子がキャサリン妃に傘をさしかけた理由は何ですか？,折からの小雨を避けるため、ウィリアム王子はキャサリン妃に傘をさしかけました。,reason,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_2,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,2,gemini
キャサリン妃が着用していたドレスのブランドは？,キャサリン妃はアリス・バイ・テンパリーの黒のドレスを着ていました。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_2,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,2,gemini
イベントに集まったマスコミの数はどれくらいですか？,欧州メディアを中心に約300人のマスコミが集まりました。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_2,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,2,gemini
スピルバーグ監督が言葉を交わしていた会場の名前と収容人数は何ですか？,会場はオデオン劇場で、1600名を収容できます。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_3,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,3,gemini
「希望」と「絆」の物語は、エリザベス女王から誰に受け継がれたとされていますか？,ウィリアム王子とキャサリン妃に受け継がれたとされています。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_3,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,3,gemini
スピルバーグ監督にとって、今回のロイヤル・プレミアはどのような機会でしたか？,スピルバーグ監督にとって、今回のロイヤル・プレミアは久々の機会であり、彼はそれを非常に名誉なことだと感じていました。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_3,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,3,gemini
「希望」と「絆」の物語は、30年の間にどのように変化してきましたか？,文学、演劇、映画と、時と共に形を変え人々から愛されてきました。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_3,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,3,gemini
なぜスピルバーグ監督は今回のロイヤル・プレミアを名誉なことだと感じたのですか？,エリザベス女王が列席してのロイヤル・プレミアの経験があるスピルバーグ監督にとって、久々のロイヤル・プレミアだったからです。,reason,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_3,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,3,gemini
スピルバーグ監督が過去にロイヤル・プレミアで迎えた人物は誰ですか？,エリザベス女王、チャールズ皇太子、故・ダイアナ妃夫妻を迎えた経験があります。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_4,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,4,gemini
スピルバーグ監督がケンブリッジ公爵夫妻に会うのは今回が初めてですか？,はい、ケンブリッジ公爵夫妻に会うのは初めてだと述べています。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_4,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,4,gemini
この映画のテーマは何ですか？,この映画は“絆”というテーマを中心に、動物が人々を結びつけ、人間の善の部分を引き出す存在になり得ることを描いています。,reason,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_4,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,4,gemini
この映画はスピルバーグ監督の過去の作品とどう違いますか？,『プライベート・ライアン』やＴＶシリーズ「バンド・オブ・ブラザーズ」のような“戦争モノ”ではなく、叙情的テーマを描いています。,comparison,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_4,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,4,gemini
この映画で描かれる「動物が人々を結びつける」とは、具体的にどのような状況を指しますか？,動物が人々の善なる部分を引き出し、人間関係を良好にする存在として描かれる状況を指します。,application,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_4,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,4,gemini
キャスリーン・ケネディは過去に誰を迎えてロイヤル・プレミアを行った経験がありますか？,キャスリーン・ケネディは過去にチャールズ皇太子とダイアナ妃を迎えてロイヤル・プレミアを行った経験があります。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_5,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,5,gemini
キャスリーン・ケネディにとって、この映画はどのような体験でしたか？,キャスリーン・ケネディにとって、この映画はとても特別で、素晴らしい体験でした。,evaluation,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_5,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,5,gemini
この映画の撮影で、特に印象深かったことは何ですか？,たくさんの美しい馬たちに囲まれた撮影が、この作品に携わったすべての人にとって思い出深い体験になったようです。,fact,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃_chunk_5,livedoor_2_『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃,livedoor,5,gemini
